Category,category_id,amount,year
保険・医療・福祉の充実に,1,169483000000,2014
子育ての支援に,2,93840111000,2014
道路・公園緑地・河川・下水道の整備と安全なまちづくりに,3,92959566000,2014
学校教育と生涯教育に,4,52115677000,2014
計画的なまちづくりに,5,36725467000,2014
行政運営に,6,34226522000,2014
地域経済の発展に,7,30818936000,2014
環境・リサイクルに,8,27617430000,2014
区政の振興に,9,17966944000,2014
港湾の整理に,10,16533620000,2014
共生と参加のまちづくりに,11,9566376000,2014
交通・水道の経営安定に,12,1914754000,2014
その他,13,33348327000,2014
